,player_id,name,club,league,height_cm,weight_kg,position,foot,country,age,PD_Info,Goals Against,Shots on Target Against,Saves,Save%,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,PSxG,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted,Throws Attempted,Launch%,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
0,7a2e46a8,Alisson,Liverpool,Premier League,193,91,Goalkeeper,Right,Brazil,29.23,Alisson - 29.23 - Liverpool,0.94,3.17,2.25,71.7,0.6,0.21,0.19,0.44,43.8,0.06,0.04,0.0,0.02,0.0,0.02,0.13,0.02,1.01,0.32,0.09,4.27,8.4,50.9,31.4,5.02,20.7,29.5,5.17,36.7,37.0,6.65,0.73,11.0,1.44,17.4
1,28d596a0,Kepa Arrizabalaga,Chelsea,Premier League,189,88,Goalkeeper,Right,Spain,27.23,Kepa Arrizabalaga - 27.23 - Chelsea,0.91,3.09,2.36,76.5,0.36,0.36,0.18,0.55,60.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.34,0.24,5.27,10.73,49.2,30.18,5.27,30.1,31.2,5.45,30.0,26.2,5.27,0.36,6.9,1.27,20.8
2,1c0eea98,Daniel Bachmann,Watford,Premier League,191,81,Goalkeeper,Right,Austria,27.46,Daniel Bachmann - 27.46 - Watford,2.25,5.63,3.63,64.4,0.13,0.0,0.88,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.13,0.5,0.13,2.03,0.32,-0.1,6.88,18.5,37.2,22.75,4.13,60.4,47.0,7.63,62.3,48.4,8.13,0.25,3.1,0.88,14.2
3,cde3309f,Karl Darlow,Newcastle Utd,Premier League,185,74,Goalkeeper,Right,,31.22,Karl Darlow - 31.22 - Newcastle Utd,1.79,4.32,2.79,63.4,0.11,0.32,0.58,0.11,10.5,0.21,0.21,0.0,0.0,0.0,0.05,0.16,0.05,1.26,0.25,-0.47,8.26,21.11,39.2,21.16,3.37,65.7,49.9,8.84,81.5,59.6,8.84,0.79,8.9,0.42,13.7
4,3a949a25,Martin Dúbravka,Newcastle Utd,Premier League,190,83,Goalkeeper,Right,Slovakia,32.94,Martin Dúbravka - 32.94 - Newcastle Utd,1.74,4.79,3.21,65.9,0.32,0.32,0.37,0.21,21.1,0.11,0.11,0.0,0.0,0.0,0.0,0.16,0.05,1.78,0.36,0.1,6.95,16.95,41.0,24.26,4.58,41.6,38.5,10.0,68.4,52.4,10.89,0.84,7.7,0.42,11.9
5,3bb7b8b4,Ederson,Manchester City,Premier League,188,89,Goalkeeper,Left,Brazil,28.36,Ederson - 28.36 - Manchester City,0.77,2.35,1.63,70.5,0.81,0.04,0.15,0.48,48.1,0.1,0.08,0.02,0.0,20.0,0.0,0.04,0.02,0.76,0.29,0.01,3.62,7.06,51.2,25.27,4.42,23.3,30.2,3.92,29.9,33.6,4.63,0.38,8.3,0.77,16.3
6,9328b835,Łukasz Fabiański,West Ham,Premier League,190,83,Goalkeeper,Right,Poland,36.68,Łukasz Fabiański - 36.68 - West Ham,1.21,3.87,2.72,70.2,0.51,0.21,0.28,0.28,28.2,0.08,0.05,0.03,0.0,33.3,0.0,0.13,0.1,1.18,0.29,0.07,7.03,17.18,40.9,19.13,3.79,57.9,45.2,7.92,77.0,56.4,9.21,0.67,7.2,0.23,12.0
7,f127d782,Álvaro Fernández,Brentford,Premier League,185,76,Goalkeeper,Right,Spain,23.7,Álvaro Fernández - 23.7 - Brentford,1.58,4.65,3.23,67.8,0.23,0.19,0.58,0.19,19.2,0.08,0.08,0.0,0.0,0.0,0.0,0.31,0.08,1.52,0.32,0.02,6.54,15.85,41.3,30.92,5.0,41.0,37.4,7.35,42.9,38.0,9.31,0.5,5.4,0.85,15.8
8,c3e39f12,Fraser Forster,Southampton,Premier League,201,92,Goalkeeper,Right,England,33.77,Fraser Forster - 33.77 - Southampton,1.44,3.56,2.33,65.6,0.56,0.0,0.44,0.22,22.2,0.33,0.22,0.11,0.0,33.3,0.0,0.22,0.0,1.16,0.26,-0.29,6.0,20.11,29.8,26.67,3.44,52.5,41.3,9.0,67.9,48.5,11.44,0.78,6.8,0.78,14.4
9,d0b3ceb9,Ben Foster,Watford,Premier League,194,94,Goalkeeper,Left,England,38.72,Ben Foster - 38.72 - Watford,1.63,4.25,2.63,61.8,0.38,0.13,0.5,0.0,0.0,0.13,0.0,0.13,0.0,100.0,0.0,0.25,0.0,1.66,0.38,0.04,9.88,24.63,40.1,25.75,2.75,66.5,51.4,8.63,87.0,63.9,9.13,0.5,5.5,1.0,17.0
10,7ba6d84e,David de Gea,Manchester Utd,Premier League,192,76,Goalkeeper,Right,Spain,31.14,David de Gea - 31.14 - Manchester Utd,1.21,4.21,3.07,72.4,0.5,0.27,0.22,0.32,32.5,0.12,0.05,0.07,0.0,60.0,0.0,0.2,0.07,1.39,0.32,0.25,4.07,9.02,45.1,16.07,3.25,36.1,34.8,7.66,42.1,37.6,7.12,0.32,4.5,0.32,14.0
11,ab13a5aa,Vicente Guaita,Crystal Palace,Premier League,191,80,Goalkeeper,Right,,34.95,Vicente Guaita - 34.95 - Crystal Palace,1.53,4.32,2.82,65.2,0.26,0.32,0.42,0.29,28.9,0.05,0.03,0.03,0.0,50.0,0.05,0.39,0.0,1.4,0.33,-0.13,6.63,16.71,39.7,22.89,4.63,47.5,38.7,7.95,73.5,53.1,8.97,0.74,8.2,0.34,12.9
12,f23f9d20,Tim Krul,Norwich City,Premier League,193,86,Goalkeeper,Left,Netherlands,33.72,Tim Krul - 33.72 - Norwich City,2.0,5.0,3.18,64.7,0.12,0.24,0.65,0.18,17.6,0.29,0.24,0.06,0.0,20.0,0.0,0.24,0.12,1.79,0.32,-0.09,6.94,17.82,38.9,30.12,5.06,45.1,40.1,7.88,53.7,44.8,8.47,0.41,4.9,0.35,12.6
13,2628fd2b,Bernd Leno,Arsenal,Premier League,190,79,Goalkeeper,Right,Germany,29.8,Bernd Leno - 29.8 - Arsenal,1.14,3.38,2.27,68.3,0.49,0.23,0.29,0.32,32.3,0.07,0.07,0.0,0.0,0.0,0.03,0.16,0.03,1.14,0.32,0.03,2.96,9.84,30.0,24.78,5.23,25.7,30.0,6.11,56.9,46.2,8.15,0.81,10.0,0.45,13.9
14,8f62b6ee,Hugo Lloris,Tottenham,Premier League,188,78,Goalkeeper,Left,France,35.0,Hugo Lloris - 35.0 - Tottenham,1.25,3.71,2.65,71.3,0.52,0.12,0.35,0.35,35.7,0.19,0.19,0.0,0.0,0.0,0.0,0.09,0.05,1.28,0.31,0.08,5.17,12.02,43.0,19.63,3.92,43.8,36.6,7.09,48.3,38.6,8.53,0.5,5.8,0.5,14.2
15,7956236f,Emiliano Martínez,Aston Villa,Premier League,193,85,Goalkeeper,Right,Argentina,29.32,Emiliano Martínez - 29.32 - Aston Villa,1.38,4.62,3.43,74.2,0.36,0.17,0.48,0.29,28.6,0.24,0.19,0.02,0.02,11.1,0.02,0.17,0.05,1.35,0.26,0.02,7.29,17.95,40.6,26.74,4.31,50.3,41.0,7.36,61.2,47.4,9.5,0.71,7.5,0.79,13.8
16,36c2ca73,Alex McCarthy,Southampton,Premier League,193,82,Goalkeeper,Right,England,32.07,Alex McCarthy - 32.07 - Southampton,1.97,4.7,2.87,61.0,0.13,0.33,0.53,0.2,20.0,0.13,0.13,0.0,0.0,0.0,0.03,0.27,0.03,1.64,0.33,-0.3,5.17,16.87,30.6,25.83,4.33,46.5,38.1,6.87,70.9,51.6,8.23,0.93,11.3,0.43,13.3
17,33887998,Edouard Mendy,Chelsea,Premier League,197,86,Goalkeeper,Right,Senegal,29.81,Edouard Mendy - 29.81 - Chelsea,0.67,2.57,1.98,77.2,0.63,0.22,0.16,0.55,54.0,0.1,0.08,0.02,0.0,20.0,0.0,0.08,0.04,0.7,0.24,0.07,3.25,6.93,46.9,23.76,4.26,22.0,28.0,5.41,31.3,30.4,6.1,0.44,7.3,0.57,14.1
18,6b625ac2,Illan Meslier,Leeds United,Premier League,193,74,Goalkeeper,Left,France,21.81,Illan Meslier - 21.81 - Leeds United,1.53,5.0,3.61,72.6,0.34,0.26,0.39,0.24,23.7,0.18,0.16,0.03,0.0,14.3,0.0,0.29,0.05,1.43,0.26,-0.04,4.66,12.97,35.9,31.79,7.34,31.1,31.5,8.08,38.1,35.2,5.79,0.74,12.7,0.79,14.4
19,4806ec67,Jordan Pickford,Everton,Premier League,185,77,Goalkeeper,Left,England,27.79,Jordan Pickford - 27.79 - Everton,1.43,4.48,3.11,69.3,0.36,0.21,0.45,0.3,29.4,0.06,0.06,0.0,0.0,0.0,0.0,0.3,0.03,1.41,0.31,0.0,8.37,21.63,38.7,27.52,4.03,57.7,45.8,7.47,77.2,61.0,9.86,0.84,8.5,0.63,14.6
20,4b40d9ca,Nick Pope,Burnley,Premier League,190,76,Goalkeeper,Right,England,29.68,Nick Pope - 29.68 - Burnley,1.26,4.5,3.21,71.9,0.24,0.38,0.38,0.26,26.5,0.0,0.0,0.0,0.0,,0.03,0.21,0.0,1.19,0.27,-0.07,9.03,22.97,39.3,21.18,3.71,75.0,54.1,8.15,87.0,63.5,10.12,1.15,11.3,1.32,16.6
21,466fb2c5,Aaron Ramsdale,Arsenal,Premier League,195,80,Goalkeeper,Right,England,23.61,Aaron Ramsdale - 23.61 - Arsenal,1.31,4.85,3.59,75.7,0.46,0.05,0.49,0.36,35.9,0.13,0.13,0.0,0.0,0.0,0.0,0.1,0.08,1.35,0.26,0.12,6.56,18.95,34.6,25.44,4.23,52.3,43.6,6.69,84.3,64.3,8.21,0.85,10.3,0.59,15.4
22,98ea5115,David Raya,Brentford,Premier League,186,81,Goalkeeper,Right,,26.28,David Raya - 26.28 - Brentford,1.0,3.22,2.22,69.0,0.33,0.33,0.33,0.33,33.3,0.0,0.0,0.0,0.0,,0.0,0.11,0.0,0.91,0.28,-0.09,9.22,24.56,37.6,37.33,5.0,49.4,41.8,8.56,71.4,52.8,8.22,1.0,12.2,1.44,15.7
23,903b6e8b,José Sá,Wolves,Premier League,192,86,Goalkeeper,Right,Portugal,28.93,José Sá - 28.93 - Wolves,0.95,4.0,3.18,80.7,0.41,0.18,0.41,0.36,36.4,0.18,0.18,0.0,0.0,0.0,0.05,0.14,0.0,1.11,0.24,0.16,5.27,15.59,33.8,23.32,5.73,48.9,41.6,7.27,57.5,46.0,9.14,0.82,9.0,0.95,15.0
24,6a713852,Robert Sánchez,Brighton,Premier League,197,88,Goalkeeper,Right,Spain,24.11,Robert Sánchez - 24.11 - Brighton,0.95,3.41,2.56,74.4,0.31,0.38,0.31,0.38,38.5,0.1,0.08,0.0,0.03,0.0,0.0,0.21,0.03,1.08,0.3,0.16,6.23,17.21,36.2,36.04,4.21,36.9,37.2,6.54,60.0,48.8,8.21,0.8,9.7,0.87,15.0
25,53af52f3,Kasper Schmeichel,Leicester City,Premier League,189,83,Goalkeeper,Right,Denmark,35.14,Kasper Schmeichel - 35.14 - Leicester City,1.6,3.81,2.38,62.3,0.4,0.25,0.35,0.19,18.8,0.19,0.17,0.0,0.02,0.0,0.02,0.23,0.04,1.32,0.31,-0.25,6.08,14.42,42.2,26.85,4.19,42.2,37.8,6.69,46.1,41.0,7.77,0.52,6.7,0.44,13.0
26,be13e5a8,Stefan Bajic,Saint-Étienne,Ligue 1,191,83,Goalkeeper,,France,20.01,Stefan Bajic - 20.01 - Saint-Étienne,2.55,4.65,2.4,51.6,0.0,0.15,0.6,0.0,0.0,0.45,0.3,0.0,0.15,0.0,0.15,0.0,0.0,2.27,0.43,-0.29,5.4,15.45,35.0,25.5,7.2,39.4,34.7,7.65,70.6,50.3,9.6,0.45,4.7,1.35,15.5
27,8a2248b4,Walter Benítez,Nice,Ligue 1,191,91,Goalkeeper,Right,Argentina,28.76,Walter Benítez - 28.76 - Nice,1.17,3.95,2.88,72.8,0.46,0.17,0.37,0.24,24.4,0.1,0.1,0.0,0.0,0.0,0.0,0.24,0.0,1.09,0.26,-0.08,3.76,9.83,38.2,20.2,4.2,29.8,31.5,6.98,54.5,43.6,8.66,0.51,5.9,0.59,14.7
28,28dabd43,Paul Bernardoni,Angers,Ligue 1,190,78,Goalkeeper,Left,France,24.68,Paul Bernardoni - 24.68 - Angers,1.5,3.15,1.88,59.8,0.24,0.29,0.47,0.26,26.5,0.24,0.24,0.0,0.0,0.0,0.06,0.29,0.03,1.22,0.33,-0.25,4.71,12.18,38.6,19.21,5.94,38.4,37.0,7.47,64.2,48.7,8.41,0.82,9.8,0.41,14.0
29,380a15e2,Dimitry Bertaud,Montpellier,Ligue 1,179,80,Goalkeeper,Right,France,23.55,Dimitry Bertaud - 23.55 - Montpellier,1.76,5.66,3.9,68.9,0.37,0.28,0.28,0.19,20.0,0.0,0.0,0.0,0.0,,0.09,0.19,0.09,1.64,0.29,-0.03,10.86,21.15,51.3,26.16,5.38,53.2,41.5,10.21,70.9,52.0,11.41,1.67,14.6,0.19,11.4
30,3d214e5f,Marco Bizot,Brest,Ligue 1,183,85,Goalkeeper,Right,Netherlands,30.79,Marco Bizot - 30.79 - Brest,1.47,4.05,2.68,64.9,0.32,0.37,0.32,0.16,15.8,0.05,0.05,0.0,0.0,0.0,0.0,0.21,0.11,1.12,0.27,-0.25,8.32,17.05,48.8,22.95,5.42,48.9,41.6,8.0,73.0,54.7,8.05,0.74,9.2,0.32,13.6
31,5ee6e943,Marc Aurèle Caillard,Metz,Ligue 1,191,86,Goalkeeper,Right,France,27.62,Marc Aurèle Caillard - 27.62 - Metz,2.38,5.17,3.38,65.4,0.2,0.4,0.4,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.2,0.6,0.0,2.13,0.32,-0.26,4.57,14.3,31.9,15.3,5.17,42.9,37.5,8.74,88.6,65.1,8.34,0.79,9.5,0.6,15.0
32,2434f24a,Benoît Costil,Bordeaux,Ligue 1,186,78,Goalkeeper,Right,France,34.48,Benoît Costil - 34.48 - Bordeaux,1.98,4.55,2.8,61.5,0.25,0.25,0.5,0.13,12.5,0.23,0.23,0.0,0.0,0.0,0.05,0.23,0.0,1.55,0.3,-0.43,8.4,18.83,44.6,28.25,3.45,46.6,39.0,7.98,70.8,52.1,8.5,0.7,8.2,0.7,14.5
33,e8c5dd4d,Arthur Desmas,Clermont Foot,Ligue 1,196,87,Goalkeeper,Right,,27.71,Arthur Desmas - 27.71 - Clermont Foot,2.0,4.08,2.31,54.7,0.23,0.31,0.46,0.23,23.1,0.15,0.15,0.0,0.0,0.0,0.0,0.31,0.08,1.39,0.32,-0.53,2.85,10.54,27.0,20.54,3.77,33.3,34.6,7.77,47.5,38.1,6.54,0.23,3.5,0.38,12.4
34,62124972,Ouparine Djoco,Clermont Foot,Ligue 1,188,90,Goalkeeper,,,23.67,Ouparine Djoco - 23.67 - Clermont Foot,1.2,2.6,1.4,53.8,0.2,0.2,0.6,0.2,20.0,0.0,0.0,0.0,0.0,,0.0,0.2,0.2,0.5,0.19,-0.5,4.2,10.8,38.9,22.6,4.4,36.3,34.8,5.0,52.0,38.3,5.4,0.2,3.7,0.8,14.9
35,08f5afaa,Gianluigi Donnarumma,Paris S-G,Ligue 1,196,90,Goalkeeper,Right,Italy,22.83,Gianluigi Donnarumma - 22.83 - Paris S-G,1.0,3.51,2.59,73.7,0.56,0.21,0.23,0.36,35.9,0.13,0.08,0.0,0.05,0.0,0.03,0.18,0.0,1.05,0.28,0.05,4.59,9.46,48.5,27.36,5.03,26.7,29.5,6.62,32.6,31.7,8.46,0.72,8.5,0.9,15.3
36,db3164e1,Gauthier Gallon,Troyes,Ligue 1,186,79,Goalkeeper,Right,,28.67,Gauthier Gallon - 28.67 - Troyes,1.47,4.42,3.11,69.0,0.21,0.26,0.53,0.16,15.8,0.11,0.11,0.0,0.0,0.0,0.0,0.32,0.11,1.28,0.27,-0.09,8.11,17.74,45.7,27.53,5.37,45.9,38.7,8.32,61.4,44.7,9.16,0.74,8.0,0.58,12.8
37,cecbce23,Alfred Gomis,Rennes,Ligue 1,196,86,Goalkeeper,Right,Senegal,28.31,Alfred Gomis - 28.31 - Rennes,0.94,2.89,2.03,73.3,0.43,0.23,0.34,0.37,37.1,0.2,0.17,0.0,0.03,0.0,0.0,0.06,0.0,1.01,0.31,0.07,5.0,11.34,44.1,24.23,5.03,30.2,31.4,6.54,61.6,47.7,8.74,0.71,8.2,0.71,14.9
38,3f034750,Ivo Grbić,Lille,Ligue 1,195,83,Goalkeeper,Right,Croatia,25.93,Ivo Grbić - 25.93 - Lille,1.0,3.52,2.65,75.3,0.43,0.35,0.22,0.22,21.7,0.13,0.13,0.0,0.0,0.0,0.04,0.17,0.0,1.03,0.26,0.03,5.61,15.91,35.2,21.3,4.26,50.2,41.1,7.74,67.4,49.6,9.61,0.91,9.5,0.43,13.2
39,667b65da,Etienne Green,Saint-Étienne,Ligue 1,190,80,Goalkeeper,Right,England,21.43,Etienne Green - 21.43 - Saint-Étienne,1.64,4.27,2.86,64.8,0.28,0.28,0.52,0.19,17.4,0.23,0.14,0.05,0.05,25.0,0.09,0.14,0.09,1.37,0.29,-0.18,5.59,14.88,37.5,20.85,4.51,45.3,39.4,8.4,64.8,50.5,8.78,0.66,7.5,0.61,14.0
40,4e7db402,Alban Lafont,Nantes,Ligue 1,193,77,Goalkeeper,Right,France,22.92,Alban Lafont - 22.92 - Nantes,1.2,3.85,2.7,70.8,0.35,0.28,0.38,0.18,17.5,0.18,0.08,0.08,0.03,50.0,0.03,0.2,0.03,1.11,0.26,-0.07,5.85,18.68,31.3,22.58,2.95,56.0,46.5,6.88,87.6,62.1,8.5,0.68,7.9,0.58,14.6
41,edbe46dc,Jean Louis Leca,Lens,Ligue 1,180,75,Goalkeeper,Right,,36.26,Jean Louis Leca - 36.26 - Lens,1.38,3.57,2.48,68.6,0.34,0.39,0.29,0.16,15.4,0.26,0.26,0.0,0.0,0.0,0.03,0.16,0.05,1.33,0.32,0.0,4.43,11.7,37.9,19.83,4.33,41.7,36.7,7.71,44.6,38.1,8.1,0.7,8.7,0.68,14.6
